ConnectorName~  Audeo~ Audiobook~ Audioteka~ BezKartek~ Bookoteka~ BooksOn~ CzeskieKlimaty~ Czytio~ DobryEbook~ Empik~ EscapeMagazine~ FantastykaPolska~ Helion~ KodeksyWmp3~ Koobe~ Latarnik~ Legimi~ Merlin~ Nexto~ Pokatne~ RW2010~ Selkar~ TaniaKsiazka~ Tmc~ Virtualo~ Wikibooks~ Woblink~ WolneEbooki~ Zantes~ ZielonaSowa~ Zinamon~ ZloteMysli~ eClicto~ 
date~ ~ ~ ~ ~ ~ ~ ./attrs/a[@name='Rok_wydania']~ ~ ~ ~ ~ ~ ./datawydania~ ~ ~ ~ ~ ./date~ ~ ./date~ ~ ~ ~ ~ ~ ~ ~ ~ ./time~ ~ ~ ~ ./attrs/a[@name='Rok_wydania']~ 
default_price~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./issues/issue/default_net_price~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
default_spread~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./issues/issue/default_spread~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
description~ ./desc~ {urn:ExportB2B}description~ {urn:ExportB2B}description~ ./description~ ~ ./n:desc~ ./desc~ ~ ~ ./description~ ./describe_long~ ~ ./opis~ ./desc~ ./description~ ./desc~ {urn:ExportB2B}description~ ./opis~ ./body~ ~ ~ description~ ./desc~ {urn:ExportB2B}description~ ./description~ ~ ./desc~ ~ ./describe_long~ {urn:ExportB2B}description~ ~ {urn:ExportB2B}description~ ./desc~ 
descriptionShort~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./descriptionShort~ ~ ~ ~ ~ ~ ~ ~ ~ 
description_short~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./describe_short~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./describe_short~ ~ ~ ~ ~ 
discount~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./znizka~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
ean~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./ean~ ~ ~ ./ean~ ~ ~ ~ ~ ~ ~ ~ ~ ean~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
external_id~ @id~ {urn:ExportB2B}id~ {urn:ExportB2B}id~ ./ebookId~ ~ @id~ @id~ ./id~ ~ ./TDProductId~ ./id~ ./filteredId~ ./ident~ @id~ ./id~ @id~ {urn:ExportB2B}id~ ./towar_id~ ./id~ ./id~ ~ id~ ./pId~ {urn:ExportB2B}id~ ./coverId~ @id~ @id~ ~ ./id~ {urn:ExportB2B}id~ ./id~ {urn:ExportB2B}id~ @id~ 
file_size~ ~ ~ ~ ~ ~ ~ ~ ~ ./wielkosc_pliku~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
formats~ ~ ~ ~ ./format~ ./format~ ~ ~ ./format~ ~ ~ ~ ~ ./ebook_formaty/ebook_format~ ~ ./property[@name='format']~ ~ ~ ./nosnik~ ./issues/issue/format{'./type':('format', ''), './file-protection/type':('protection',''), './file-protection/properties':('properties','')}~ ./formats~ ./formaty~ ~ ~ ~ ./format~ ~ ./attrs/a[@name='Format']~ ./formats~ ~ ~ ./format~ ~ ./attrs/a[@name='Format']~ 
free_fragment~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./online~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
free_fragment_online_tool~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./issueurl~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
genre~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./description/div[@class='field field-name-field-gatunek field-type-taxonomy-term-reference field-label-inline inline clearfix']/ul/li/a~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
gross_price~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./ksiegarnie_nieinter/cena_brutto~ ~ ~ ~ ~ ~ ./issues/issue/gross_nexto_price~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
is_available~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./status~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
is_bestseller~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./bestseller~ ~ ~ ~ ~ ~ ~ ~ ~ bestseller~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
is_new~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ./nowosc~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
isbn~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ isbn~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 
isbns~ ~ ~ ~ ./isbn~ ./isbn~ ~ ./attrs/a[@name='ISBN']~ ./isbn~ ./isbn~ ./isbn~ ./producer_ident~ ~ ./isbn~ ./attrs/a[@name='EAN']~ ./property[@name='isbn']~ ./attrs/a[@name='EAN']~ ~ ./identyfikator~ ./isbn~ ~ ~ ~ ./atribute[@Name='ISBN']~ ~ ./isbn~ ~ ./attrs/a[@name='ISBN']~ ~ ./producer_ident~ ~ ./isbn~ ~ ./attrs/a[@name='ISBN']~ 
